,location,total_sqft,bath,price,bhk
106,7th Phase JP Nagar,1175.0,2.0,82.5,2
109,7th Phase JP Nagar,1215.0,2.0,90.0,2
110,7th Phase JP Nagar,1050.0,2.0,75.0,2
111,7th Phase JP Nagar,1300.0,3.0,89.13,3
112,7th Phase JP Nagar,1130.0,2.0,73.0,2
113,7th Phase JP Nagar,1450.0,3.0,100.0,3
116,7th Phase JP Nagar,1275.0,2.0,87.0,2
120,7th Phase JP Nagar,1680.0,3.0,117.0,3
123,7th Phase JP Nagar,1680.0,3.0,125.0,3
124,7th Phase JP Nagar,1675.0,2.0,135.0,3
126,7th Phase JP Nagar,1850.0,3.0,155.0,3
128,7th Phase JP Nagar,1460.0,2.0,100.0,3
130,7th Phase JP Nagar,1000.0,2.0,70.65,2
131,7th Phase JP Nagar,1080.0,2.0,75.0,2
137,7th Phase JP Nagar,1050.0,2.0,77.0,2
138,7th Phase JP Nagar,1040.0,2.0,75.0,2
139,7th Phase JP Nagar,1800.0,3.0,130.0,3
140,7th Phase JP Nagar,1050.0,2.0,68.0,2
142,7th Phase JP Nagar,980.0,2.0,86.0,2
143,7th Phase JP Nagar,1050.0,2.0,77.47,2
145,7th Phase JP Nagar,1680.0,3.0,122.0,3
146,7th Phase JP Nagar,1130.0,2.0,85.0,2
147,7th Phase JP Nagar,1680.0,3.0,130.0,3
148,7th Phase JP Nagar,2980.0,4.0,260.0,3
149,7th Phase JP Nagar,980.0,2.0,77.44,2
152,7th Phase JP Nagar,2095.0,3.0,150.0,3
153,7th Phase JP Nagar,1976.0,3.0,145.0,3
154,7th Phase JP Nagar,1600.0,2.0,110.0,3
156,7th Phase JP Nagar,1275.0,2.0,88.0,3
157,7th Phase JP Nagar,1450.0,2.0,102.0,3
159,7th Phase JP Nagar,750.0,1.0,47.0,1
161,7th Phase JP Nagar,1000.0,1.0,60.0,1
163,7th Phase JP Nagar,1430.0,2.0,102.0,3
167,7th Phase JP Nagar,1530.0,2.0,108.0,2
168,8th Phase JP Nagar,1073.5,2.0,54.005,2
169,8th Phase JP Nagar,451.0,1.0,29.9,1
173,8th Phase JP Nagar,1455.0,3.0,73.31,3
174,8th Phase JP Nagar,871.0,2.0,55.0,2
176,8th Phase JP Nagar,1800.0,3.0,80.0,3
177,8th Phase JP Nagar,2700.0,4.0,130.0,4
182,8th Phase JP Nagar,500.0,1.0,31.0,1
186,8th Phase JP Nagar,909.0,2.0,40.9,2
187,8th Phase JP Nagar,1431.5,3.0,72.02,3
188,8th Phase JP Nagar,1900.0,4.0,90.0,3
189,8th Phase JP Nagar,500.0,1.0,30.0,1
193,8th Phase JP Nagar,1504.0,2.0,83.0,3
194,8th Phase JP Nagar,2600.0,4.0,115.0,4
198,8th Phase JP Nagar,1298.0,2.0,59.0,2
200,8th Phase JP Nagar,500.0,1.0,33.0,1
201,8th Phase JP Nagar,1160.0,2.0,95.0,2
202,8th Phase JP Nagar,1245.0,2.0,59.0,2
203,8th Phase JP Nagar,1510.0,2.0,80.0,2
204,8th Phase JP Nagar,3300.0,3.0,165.0,3
208,8th Phase JP Nagar,1046.0,2.0,48.0,2
210,8th Phase JP Nagar,1408.0,3.0,80.0,3
212,9th Phase JP Nagar,1005.0,2.0,50.0,2
214,9th Phase JP Nagar,1100.0,2.0,65.0,2
217,9th Phase JP Nagar,5000.0,4.0,290.0,4
218,9th Phase JP Nagar,1164.0,2.0,56.0,2
225,9th Phase JP Nagar,600.0,1.0,20.0,1
226,9th Phase JP Nagar,1466.0,2.0,71.0,2
227,9th Phase JP Nagar,1890.0,2.0,93.0,3
228,9th Phase JP Nagar,1079.0,2.0,60.0,2
229,9th Phase JP Nagar,1480.0,2.0,80.0,2
230,9th Phase JP Nagar,1200.0,2.0,80.0,2
232,9th Phase JP Nagar,1073.0,2.0,52.36,2
233,9th Phase JP Nagar,1719.3,2.0,88.0,3
234,9th Phase JP Nagar,1780.0,3.0,88.0,3
236,9th Phase JP Nagar,1522.0,3.0,90.0,3
239,9th Phase JP Nagar,890.0,2.0,45.0,2
241,9th Phase JP Nagar,5000.0,4.0,300.0,4
244,9th Phase JP Nagar,1331.95,2.0,69.0,2
247,AECS Layout,1199.0,2.0,65.0,2
248,AECS Layout,1080.0,2.0,55.0,2
249,AECS Layout,1123.0,2.0,64.0,2
251,AECS Layout,1005.0,2.0,55.0,2
253,Abbigere,985.0,2.0,40.39,2
255,Abbigere,765.0,2.0,30.0,1
257,Abbigere,795.0,2.0,32.54,2
259,Abbigere,734.0,1.0,19.82,1
261,Abbigere,1020.0,2.0,41.82,2
265,Abbigere,1130.0,2.0,46.33,2
266,Abbigere,795.0,1.0,32.6,2
267,Abbigere,3000.0,8.0,150.0,8
269,Abbigere,1000.0,2.0,41.0,2
270,Abbigere,995.0,2.0,40.8,2
273,Akshaya Nagar,1070.0,2.0,54.0,2
275,Akshaya Nagar,1662.0,3.0,85.1,3
276,Akshaya Nagar,1897.0,3.0,120.0,3
277,Akshaya Nagar,1410.0,2.0,75.0,3
278,Akshaya Nagar,1360.0,2.0,85.0,3
280,Akshaya Nagar,1410.0,2.0,80.0,3
281,Akshaya Nagar,1662.0,3.0,85.0,3
282,Akshaya Nagar,1662.0,3.0,85.5,3
284,Akshaya Nagar,1666.0,3.0,95.0,3
285,Akshaya Nagar,1575.0,3.0,90.0,3
286,Akshaya Nagar,1430.0,2.0,75.0,3
287,Akshaya Nagar,1419.0,2.0,73.0,3
289,Akshaya Nagar,1092.0,2.0,60.0,2
290,Akshaya Nagar,1690.0,3.0,85.0,3
292,Akshaya Nagar,1897.0,4.0,93.0,3
293,Akshaya Nagar,1884.0,3.0,98.0,3
294,Akshaya Nagar,1314.0,2.0,68.8,2
295,Akshaya Nagar,1265.0,2.0,67.0,2
296,Akshaya Nagar,1126.0,2.0,55.0,2
298,Akshaya Nagar,1662.0,3.0,90.0,3
299,Akshaya Nagar,1420.0,2.0,75.0,3
300,Akshaya Nagar,1412.0,2.0,88.0,3
301,Akshaya Nagar,1434.0,3.0,84.0,3
302,Akshaya Nagar,1890.0,4.0,100.0,3
304,Akshaya Nagar,1419.0,2.0,87.0,3
307,Akshaya Nagar,1820.0,4.0,95.0,3
309,Akshaya Nagar,1896.0,3.0,102.0,3
310,Akshaya Nagar,1300.0,2.0,66.0,2
311,Akshaya Nagar,1225.0,2.0,68.0,2
313,Akshaya Nagar,1421.0,2.0,73.0,3
314,Akshaya Nagar,1893.0,4.0,95.0,3
315,Akshaya Nagar,900.0,2.0,45.0,2
316,Ambalipura,1105.0,2.0,75.0,2
318,Ambalipura,1150.0,2.0,80.0,2
320,Ambalipura,1332.0,2.0,79.0,2
321,Ambalipura,1730.0,3.0,120.0,3
328,Ambalipura,1303.0,2.0,80.0,2
329,Ambalipura,1607.0,2.0,112.0,3
330,Ambalipura,770.0,1.0,43.82,1
334,Ambalipura,1198.0,2.0,80.0,2
335,Ambedkar Nagar,1935.0,4.0,130.0,3
336,Ambedkar Nagar,1424.0,2.0,90.0,2
337,Ambedkar Nagar,2225.0,4.0,169.0,3
339,Ambedkar Nagar,1850.0,4.0,139.0,3
343,Ambedkar Nagar,3530.0,4.0,290.0,4
345,Ambedkar Nagar,1852.0,3.0,130.0,3
347,Ambedkar Nagar,1367.0,2.0,86.0,2
348,Ambedkar Nagar,3565.0,4.0,255.0,4
349,Ambedkar Nagar,1409.0,2.0,95.0,2
351,Ambedkar Nagar,1921.0,4.0,129.0,3
355,Ambedkar Nagar,1852.0,3.0,125.0,3
357,Ambedkar Nagar,1425.0,2.0,94.0,2
361,Amruthahalli,1900.0,3.0,135.0,3
363,Amruthahalli,900.0,2.0,60.0,2
368,Amruthahalli,1450.0,2.0,85.0,3
369,Amruthahalli,1250.0,2.0,79.0,2
371,Amruthahalli,1202.0,2.0,65.0,2
372,Amruthahalli,1340.0,2.0,75.0,2
373,Amruthahalli,2650.0,4.0,175.0,3
374,Amruthahalli,1450.0,2.0,90.0,3
376,Amruthahalli,485.0,1.0,19.5,1
378,Anandapura,1000.0,2.0,55.0,2
381,Anandapura,1200.0,2.0,67.0,2
382,Anandapura,1200.0,2.0,58.0,2
385,Anandapura,900.0,2.0,48.0,2
386,Anandapura,1749.0,4.0,90.0,4
391,Anandapura,1200.0,2.0,66.0,3
392,Anandapura,1415.0,2.0,74.0,3
394,Anandapura,1141.0,2.0,50.0,2
396,Ananth Nagar,500.0,1.0,14.0,1
399,Ananth Nagar,500.0,2.0,14.0,1
402,Ananth Nagar,870.0,2.0,36.0,2
403,Ananth Nagar,937.0,2.0,35.0,2
404,Ananth Nagar,960.0,2.0,37.0,2
406,Ananth Nagar,850.0,2.0,25.99,2
408,Ananth Nagar,1470.0,3.0,54.0,3
409,Ananth Nagar,810.0,2.0,25.5,2
410,Ananth Nagar,890.0,2.0,27.0,2
413,Ananth Nagar,1319.0,3.0,42.0,3
418,Ananth Nagar,1010.0,2.0,38.0,2
424,Anekal,925.0,2.0,40.0,2
425,Anekal,530.0,1.0,18.0,1
426,Anekal,1800.0,3.0,68.0,3
427,Anekal,351.0,1.0,16.0,1
428,Anekal,1035.0,2.0,38.3,2
429,Anekal,888.0,2.0,34.0,2
434,Anekal,967.0,2.0,45.0,3
435,Anekal,620.0,1.0,23.5,2
436,Anekal,1150.0,3.0,45.0,3
439,Anekal,2400.0,4.0,95.0,3
442,Anekal,614.0,1.0,28.0,2
443,Anekal,1140.0,2.0,52.0,2
444,Anekal,625.0,1.0,25.0,2
445,Anjanapura,1850.0,4.0,86.0,4
446,Anjanapura,1070.0,2.0,39.0,2
447,Anjanapura,1500.0,3.0,121.0,3
448,Anjanapura,1070.0,2.0,37.0,2
449,Anjanapura,950.0,2.0,40.0,2
450,Anjanapura,1280.0,2.0,45.0,3
451,Anjanapura,710.0,2.0,25.0,2
455,Anjanapura,1843.0,3.0,87.54,3
458,Ardendale,1750.0,3.0,100.0,3
459,Ardendale,3198.0,4.0,200.0,4
460,Ardendale,2422.0,4.0,160.0,4
461,Ardendale,3200.0,4.0,205.0,4
462,Ardendale,1728.0,3.0,95.0,3
463,Ardendale,2062.0,3.0,140.0,4
465,Ardendale,2062.0,3.0,150.0,4
467,Ardendale,1224.0,2.0,70.0,2
468,Ardendale,1777.26,3.0,105.0,3
470,Ardendale,1224.0,2.0,67.0,2
471,Ardendale,1723.0,3.0,95.0,3
474,Arekere,2060.0,3.0,140.0,3
476,Arekere,1740.0,2.0,95.0,3
478,Arekere,600.0,1.0,28.0,1
479,Arekere,2072.0,3.0,108.0,3
480,Arekere,1100.0,2.0,55.0,2
481,Arekere,900.0,2.0,50.0,2
482,Arekere,2710.0,6.0,142.0,4
484,Arekere,900.0,2.0,44.5,2
486,Attibele,1600.0,4.0,52.8,4
487,Attibele,656.0,2.0,25.0,2
489,Attibele,400.0,1.0,12.0,1
490,Attibele,400.0,1.0,14.0,1
491,Attibele,500.0,1.0,17.0,1
492,Attibele,2168.0,4.0,95.0,4
494,Attibele,420.0,1.0,17.0,1
496,Attibele,418.0,1.0,12.0,1
497,Attibele,1200.0,2.0,42.0,2
499,Attibele,695.0,1.0,25.0,2
501,Attibele,2400.0,3.0,120.0,3
508,Attibele,400.0,1.0,11.5,1
509,Attibele,460.0,1.0,13.0,1
511,Attibele,1000.0,2.0,42.0,2
515,Attibele,1700.0,3.0,65.0,3
517,Attibele,1500.0,3.0,90.0,3
518,Attibele,520.0,1.0,15.0,1
519,BTM 2nd Stage,1260.0,5.0,185.0,3
521,BTM 2nd Stage,1850.0,3.0,170.0,3
522,BTM 2nd Stage,1200.0,2.0,80.0,2
526,BTM 2nd Stage,1280.0,2.0,80.0,2
527,BTM 2nd Stage,1100.0,2.0,70.0,2
528,BTM 2nd Stage,1000.0,2.0,58.0,2
529,BTM 2nd Stage,2990.0,5.0,416.0,5
531,BTM 2nd Stage,2200.0,3.0,220.0,3
532,BTM 2nd Stage,2780.0,4.0,325.0,3
533,BTM 2nd Stage,2400.0,2.0,360.0,3
534,BTM 2nd Stage,965.0,2.0,56.0,2
535,BTM 2nd Stage,1147.0,2.0,75.0,2
536,BTM 2nd Stage,1750.0,3.0,172.0,3
537,BTM 2nd Stage,1400.0,2.0,90.0,2
538,BTM 2nd Stage,1200.0,2.0,70.0,2
542,BTM 2nd Stage,2500.0,3.0,345.0,3
543,BTM Layout,1150.0,2.0,63.0,2
544,BTM Layout,3300.0,6.0,165.0,6
545,BTM Layout,1450.0,2.0,81.0,3
546,BTM Layout,1776.0,2.0,75.0,3
547,BTM Layout,1458.0,3.0,79.0,3
548,BTM Layout,935.0,2.0,51.5,2
549,BTM Layout,1020.0,2.0,46.5,2
550,BTM Layout,1600.0,3.0,112.0,3
551,BTM Layout,1300.0,2.0,75.0,3
552,BTM Layout,1540.0,2.0,78.0,3
553,BTM Layout,450.0,1.0,20.0,1
554,BTM Layout,1196.0,2.0,56.81,2
555,BTM Layout,1470.0,2.0,99.0,3
558,Babusapalaya,1611.0,2.0,66.0,3
560,Babusapalaya,1675.0,3.0,75.0,3
561,Babusapalaya,1141.0,2.0,46.0,2
562,Babusapalaya,1500.0,2.0,57.0,2
564,Babusapalaya,1050.0,2.0,45.0,2
565,Babusapalaya,1141.0,2.0,45.9,2
567,Babusapalaya,1230.0,3.0,53.0,3
569,Babusapalaya,1410.0,2.0,65.0,3
570,Babusapalaya,1450.0,2.0,55.99,2
576,Babusapalaya,1245.0,2.0,58.0,2
577,Balagere,1210.0,2.0,80.9,2
578,Balagere,1210.0,2.0,72.0,2
579,Balagere,1205.0,2.0,78.5,2
583,Balagere,1020.07,2.0,68.38,2
584,Balagere,1205.47,2.0,81.0,2
585,Balagere,1007.0,2.0,65.0,2
587,Balagere,1210.0,2.0,74.0,2
588,Balagere,1210.0,2.0,83.0,2
589,Balagere,675.0,1.0,45.0,1
590,Balagere,656.0,1.0,43.0,1
591,Balagere,1012.0,2.0,64.0,2
592,Balagere,1007.0,2.0,62.0,2
593,Balagere,1007.0,2.0,67.0,2
594,Balagere,1007.0,2.0,66.0,2
601,Balagere,1012.0,2.0,65.0,2
602,Balagere,656.0,1.0,38.77,1
603,Balagere,645.0,1.0,39.0,1
604,Balagere,645.0,1.0,41.0,1
605,Balagere,1210.0,2.0,82.0,2
607,Balagere,1205.0,2.0,73.87,2
608,Balagere,1012.0,2.0,70.0,2
609,Balagere,1007.0,2.0,68.0,2
611,Balagere,1205.0,2.0,79.0,2
612,Balagere,1012.0,2.0,68.0,2
615,Banashankari,1470.0,2.0,88.64,3
617,Banashankari,1800.0,3.0,115.0,3
618,Banashankari,1125.0,2.0,63.0,2
620,Banashankari,1310.0,2.0,80.0,2
622,Banashankari,1900.0,2.0,170.0,3
623,Banashankari,1260.0,2.0,75.0,2
626,Banashankari,1350.0,2.0,83.0,3
628,Banashankari,1330.0,2.0,78.0,2
630,Banashankari,1700.0,3.0,125.0,3
634,Banashankari,2400.0,1.0,200.0,1
635,Banashankari,1390.0,2.0,86.0,2
638,Banashankari,1290.0,2.0,80.0,2
639,Banashankari,2582.0,5.0,250.0,3
640,Banashankari,1186.0,2.0,65.0,2
641,Banashankari,1650.0,3.0,101.0,3
643,Banashankari,1181.0,2.0,75.0,2
644,Banashankari,1105.0,2.0,90.0,2
645,Banashankari,720.0,1.0,60.0,1
647,Banashankari,1330.0,2.0,77.0,2
649,Banashankari,1185.0,2.0,67.0,2
652,Banashankari,1310.0,2.0,80.43,2
654,Banashankari,1430.0,2.0,87.8,2
659,Banashankari,1683.0,3.0,115.0,3
660,Banashankari,1800.0,3.0,125.0,3
663,Banashankari,1800.0,3.0,175.0,3
665,Banashankari,1770.0,3.0,108.0,3
667,Banashankari,1200.0,3.0,74.52,3
668,Banashankari,1100.0,2.0,63.0,2
669,Banashankari,1426.0,3.0,85.0,3
670,Banashankari Stage II,1700.0,2.0,150.0,2
671,Banashankari Stage II,1200.0,2.0,150.0,4
673,Banashankari Stage II,2400.0,3.0,510.0,5
675,Banashankari Stage II,1250.0,2.0,110.0,2
677,Banashankari Stage II,2400.0,2.0,300.0,3
678,Banashankari Stage II,1400.0,2.0,100.0,2
679,Banashankari Stage II,2800.0,3.0,425.0,5
680,Banashankari Stage II,3000.0,3.0,450.0,3
681,Banashankari Stage II,1200.0,2.0,198.0,3
682,Banashankari Stage II,1245.0,2.0,125.0,2
684,Banashankari Stage III,1145.0,2.0,58.4,2
685,Banashankari Stage III,1650.0,3.0,118.0,3
686,Banashankari Stage III,2400.0,4.0,240.0,4
691,Banashankari Stage III,1200.0,2.0,42.0,2
693,Banashankari Stage III,1304.0,2.0,111.0,2
695,Banashankari Stage III,1085.0,2.0,50.0,2
696,Banashankari Stage III,1500.0,2.0,100.0,3
697,Banashankari Stage III,1350.0,1.0,145.0,1
698,Banashankari Stage III,2100.0,3.0,147.0,4
699,Banashankari Stage III,1420.0,2.0,95.0,3
700,Banashankari Stage V,1300.0,2.0,58.5,3
701,Banashankari Stage V,1305.0,2.0,49.0,3
702,Banashankari Stage V,1035.0,2.0,35.77,2
703,Banashankari Stage V,1355.0,2.0,61.0,3
704,Banashankari Stage V,1510.0,3.0,47.57,3
705,Banashankari Stage V,1650.0,3.0,51.98,3
706,Banashankari Stage V,1630.0,3.0,51.35,3
707,Banashankari Stage V,1315.0,2.0,49.0,3
708,Banashankari Stage V,1540.0,3.0,48.51,3
709,Banashankari Stage V,920.0,2.0,41.5,2
710,Banashankari Stage VI,1177.5,2.0,59.935,2
711,Banashankari Stage VI,4800.0,4.0,190.0,4
712,Banashankari Stage VI,2800.0,4.0,89.0,4
713,Banashankari Stage VI,2200.0,4.0,195.0,4
714,Banashankari Stage VI,1160.0,2.0,59.0,2
715,Banashankari Stage VI,1180.0,2.0,59.47,2
716,Banashankari Stage VI,1423.0,2.0,71.73,3
717,Banashankari Stage VI,1392.0,3.0,69.46,3
718,Banashankari Stage VI,1410.5,2.0,70.385,3
719,Banashankari Stage VI,4800.0,3.0,200.0,4
723,Banaswadi,1365.0,2.0,73.0,2
724,Banaswadi,1903.0,6.0,140.0,5
725,Banaswadi,1222.0,2.0,80.0,2
729,Banaswadi,527.0,1.0,35.0,1
730,Banaswadi,1340.0,2.0,73.0,2
731,Banaswadi,1008.0,2.0,52.0,2
732,Banaswadi,1105.0,2.0,57.0,2
733,Banjara Layout,1200.0,2.0,70.0,2
734,Banjara Layout,1050.0,2.0,64.8,2
735,Banjara Layout,753.0,3.0,59.5,2
736,Banjara Layout,2500.0,4.0,140.0,3
737,Bannerghatta,3012.0,6.0,250.0,4
738,Bannerghatta,1665.0,3.0,110.0,3
739,Bannerghatta,2370.0,4.0,195.0,3
740,Bannerghatta,1100.0,2.0,66.0,2
741,Bannerghatta,2895.5,2.0,246.0,4
742,Bannerghatta,1113.0,2.0,70.0,2
743,Bannerghatta,1200.0,2.0,73.2,2
744,Bannerghatta,1070.0,2.0,87.0,2
745,Bannerghatta,1776.0,3.0,124.0,3
746,Bannerghatta,1776.0,3.0,150.0,3
747,Bannerghatta Road,500.0,1.0,18.5,1
748,Bannerghatta Road,1050.0,2.0,65.0,2
749,Bannerghatta Road,1170.0,2.0,66.0,3
750,Bannerghatta Road,595.0,1.0,33.32,1
751,Bannerghatta Road,1445.0,3.0,95.0,3
752,Bannerghatta Road,1640.0,2.0,120.0,3
754,Bannerghatta Road,1460.0,2.0,90.0,3
756,Bannerghatta Road,1179.0,2.0,66.02,2
757,Bannerghatta Road,1122.5,2.0,58.935,2
758,Bannerghatta Road,793.0,2.0,45.0,2
760,Bannerghatta Road,1400.0,2.0,78.0,2
763,Bannerghatta Road,1654.0,3.0,100.0,3
766,Bannerghatta Road,1200.0,2.0,75.0,2
768,Bannerghatta Road,595.0,1.0,31.83,1
770,Bannerghatta Road,1255.0,2.0,65.26,2
774,Bannerghatta Road,1650.0,3.0,122.0,3
775,Bannerghatta Road,912.0,2.0,55.0,2
776,Bannerghatta Road,1218.0,2.0,73.0,2
778,Bannerghatta Road,1115.0,2.0,65.12,2
781,Bannerghatta Road,1600.0,3.0,95.0,3
785,Bannerghatta Road,1260.0,2.0,70.0,2
788,Bannerghatta Road,1150.0,2.0,65.0,2
792,Bannerghatta Road,1725.0,3.0,110.0,3
793,Bannerghatta Road,1850.0,6.0,150.0,6
796,Bannerghatta Road,1220.0,2.0,80.0,2
797,Bannerghatta Road,1130.0,2.0,78.0,2
799,Bannerghatta Road,1486.0,3.0,83.22,3
802,Bannerghatta Road,1115.0,2.0,61.0,2
804,Bannerghatta Road,2700.0,4.0,260.0,4
805,Bannerghatta Road,1200.0,2.0,69.0,3
807,Bannerghatta Road,1302.5,2.0,67.73,2
808,Bannerghatta Road,1200.0,2.0,65.0,2
809,Bannerghatta Road,1240.0,2.0,65.0,2
810,Bannerghatta Road,1476.0,3.0,125.0,3
812,Bannerghatta Road,1532.5,3.0,84.29,3
814,Bannerghatta Road,1268.0,2.0,69.0,2
815,Bannerghatta Road,1450.0,2.0,87.0,3
816,Bannerghatta Road,2932.0,5.0,195.0,4
819,Bannerghatta Road,960.0,2.0,58.0,2
820,Bannerghatta Road,1750.0,3.0,130.0,3
821,Bannerghatta Road,1275.0,2.0,73.0,2
823,Bannerghatta Road,1240.0,2.0,71.0,2
825,Bannerghatta Road,1215.0,2.0,68.0,2
826,Bannerghatta Road,1894.0,3.0,115.0,3
831,Bannerghatta Road,630.0,1.0,35.0,1
832,Bannerghatta Road,1365.0,3.0,76.18,3
833,Bannerghatta Road,1115.0,2.0,78.0,2
836,Bannerghatta Road,1655.0,3.0,90.0,3
839,Bannerghatta Road,1650.0,3.0,94.0,3
840,Bannerghatta Road,905.0,2.0,65.0,2
845,Bannerghatta Road,1460.0,2.0,80.0,3
846,Bannerghatta Road,1340.0,2.0,85.0,2
847,Bannerghatta Road,1711.0,3.0,125.0,3
853,Bannerghatta Road,1640.0,3.0,105.0,3
856,Bannerghatta Road,1527.0,3.0,115.0,3
859,Bannerghatta Road,1550.0,3.0,96.0,3
860,Bannerghatta Road,1200.0,2.0,78.0,2
861,Bannerghatta Road,1885.0,3.0,125.0,3
864,Bannerghatta Road,700.0,1.0,31.2,1
867,Bannerghatta Road,905.0,2.0,58.0,2
869,Bannerghatta Road,1920.0,3.0,122.0,3
870,Bannerghatta Road,2400.0,4.0,180.0,4
874,Bannerghatta Road,1270.0,2.0,73.0,3
875,Bannerghatta Road,1846.0,3.0,120.0,3
877,Bannerghatta Road,1122.5,2.0,61.74,2
878,Bannerghatta Road,1655.0,3.0,95.0,3
881,Bannerghatta Road,1215.0,2.0,65.0,2
882,Bannerghatta Road,1510.0,2.0,110.0,3
885,Bannerghatta Road,1470.0,2.0,85.0,3
887,Bannerghatta Road,970.0,2.0,57.0,2
888,Bannerghatta Road,1527.0,3.0,142.0,3
891,Basavangudi,1036.0,2.0,105.0,2
892,Basavangudi,2600.0,4.0,260.0,4
893,Basavangudi,1600.0,2.0,160.0,3
896,Basavangudi,1800.0,3.0,195.0,3
899,Basavangudi,1050.0,2.0,103.0,2
902,Basavangudi,1180.0,2.0,124.0,2
904,Basavangudi,1200.0,2.0,120.0,2
906,Basavangudi,2453.0,3.0,250.0,4
908,Basaveshwara Nagar,4500.0,5.0,415.0,5
909,Basaveshwara Nagar,1865.0,3.0,145.0,3
910,Basaveshwara Nagar,1200.0,2.0,90.0,2
911,Basaveshwara Nagar,2400.0,4.0,310.0,5
912,Basaveshwara Nagar,1200.0,2.0,80.0,2
913,Basaveshwara Nagar,900.0,2.0,60.0,2
914,Basaveshwara Nagar,1900.0,3.0,150.0,3
915,Basaveshwara Nagar,1200.0,2.0,85.0,2
916,Basaveshwara Nagar,1200.0,2.0,70.0,2
917,Battarahalli,1200.0,2.0,65.0,2
